x_1,x_2
0.7547873496,2.7020305764
0.6211644319,2.8173894243
2.4940424996,0.5567354486
1.7665606792,3.3433377047
0.9273922879,-0.1180294142
0.8064335661,4.2406380095
2.7543720395,0.5360570824
2.8567505570,0.2058233049
-1.1506876297,0.8094352173
-0.3813766359,1.3171466139
1.4483579752,3.3529840826
-1.3097561819,2.2536910046
1.2732338209,2.6403785412
1.4416503241,1.6436060324
1.3111065941,1.8379673596
2.8711616651,0.6456728267
0.9909782460,4.2449604118
1.8497255238,-0.0849295046
-0.0786866399,2.7196416281
0.2395935977,-0.4348087188
0.8545257039,0.1112905658
2.9843663987,1.3839434673
-0.0908826118,3.0462117042
-1.4967303447,1.5805859495
-0.0114276117,1.6871163117
1.4869647588,4.4929782286
-0.1433864011,3.6175731015
-1.2373370942,0.7507739634
0.0335072354,0.2592788383
2.7000482308,2.7496696997
2.0290219799,2.3853015743
0.1717675108,-0.2023355549
-1.2593394399,3.1697413543
1.8715082619,4.3491567386
1.0044649895,2.8125203494
0.5821782462,2.9685848900
2.6556851026,1.0167564650
1.0515180893,4.2114126628
1.4811424368,0.0420368765
-0.2049063200,0.1384886910
0.0289333814,-0.1935113851
2.7750270758,1.1379767452
2.0540424729,2.9943851941
0.5874533111,-0.5426547758
1.0566188956,0.6453987927
1.8133697354,0.7870452935
-1.4441793757,1.8177827542
2.5738857533,1.7870835847
1.8764846850,4.5105787995
-1.0532206639,0.6701884708
1.0226036133,-0.6568147317
1.7424840583,3.6794056579
2.3943555529,1.3231184438
2.7752147443,0.6664315666
1.5926672161,3.7935322485
2.2336818340,-0.2434423715
0.7499353259,2.8604802623
1.0425787271,1.0649234059
1.8945979130,2.3582740312
-1.4587515499,2.0227235880
1.3539107881,4.4735663720
-0.8573950207,2.5115968921
2.9751935933,1.9610525039
1.1006612176,2.1915369574
0.0564454217,3.6016200958
3.4280902307,2.4575130946
2.2157188945,1.4575901406
0.1972711249,2.9258994368
2.2675494084,2.0637533952
-0.3988101073,3.1913134477
1.6717160741,3.3819190188
-0.5145166263,3.1085578522
2.1356218406,2.8334942384
3.3261367182,1.9495882503
-0.4448568168,-0.0165070125
-0.9655781853,0.4832655961
