x_1,x_2
-1.0796562650,2.1286572897
1.4930231898,2.7006904032
3.0833048495,1.7705486361
2.3403766807,2.6823827511
2.1038490139,2.8396007384
3.0964903195,3.3666025186
0.5726551874,0.2699073702
0.4120919075,1.1425542509
0.6270034233,1.6443999440
2.5361047430,1.4314792475
1.5188323508,4.5982289633
0.6061721978,3.4574616453
2.7280634835,2.7291415256
2.4236010532,2.1427553719
-0.1310007755,0.1881447597
-1.4364889866,2.2606432006
-0.8153674954,2.5551511187
0.3421537594,4.1440017238
1.1656510733,0.8886202597
-0.8249728192,3.6250728603
1.5533028180,-0.4528419323
1.1496262362,4.3328227141
0.4919782030,-0.3852405160
1.4336799393,-0.1287447664
-0.1933672151,1.3036451012
-1.0324846039,2.2499621734
0.1471856789,0.1305880972
1.4089120591,4.1360303967
3.1263193420,2.3111338307
-0.5873012896,2.8932190208
-0.8856483389,3.7170397707
2.5820798796,2.7174622419
-1.1885316309,2.3647081851
0.2487061658,2.8375355459
2.2936334663,0.5494635434
3.0999349182,1.8910792916
2.3260070642,0.9456272107
-0.1513497056,3.3769501508
0.1445884378,1.7980981177
3.0922944478,3.5450162129
2.0370669754,1.2539040511
-0.9431998716,0.6309062433
-1.2912538488,2.5367185012
-0.2537423504,3.9566903490
2.0221811808,2.3680023640
-0.8920375088,3.7637376668
-0.6308602582,0.7756406817
3.0167219933,1.9043185943
0.5206314954,2.8440954747
0.9375111898,-0.3802885368
1.6863919630,1.4145293784
0.5201430044,4.4961760167
-0.2018585012,0.6714019357
2.5648924522,2.5732269364
-0.8326567641,2.9999100822
1.1092142843,3.0928328890
1.5233991753,1.4082415160
3.0565887683,0.4195085823
-0.9272161677,1.8250167168
0.3847732154,0.7209935885
0.0106039500,1.4293444999
-1.2951602371,2.1967902171
2.6550734601,3.2846195991
1.6013112093,3.7932992618
2.4561627873,0.0770244089
-0.4525267263,1.4825585133
0.2879763240,0.4029136544
0.6833381378,0.1945158233
0.0923846673,4.3303355298
0.1349550276,0.9283677203
-1.3590902511,2.5262717611
0.7701153813,2.3508854643
0.9809788743,2.9785017880
1.3609421165,0.9345760693
2.8998928207,3.2124142572
0.8082963284,1.6251255671
3.3325495688,0.9322213029
0.6892985087,1.3261412908
0.9832383443,4.2269448398
2.2599310903,2.3875795715
0.2943529702,4.4826816467
-1.2156797260,2.6731552493
0.8890990352,3.5617991275
-1.4617441105,2.3331475358
0.4039513085,1.0974569120
3.1127660243,1.0235668519
-0.7478705049,1.1837197492
-0.4325718457,1.5690454350
0.2323603928,4.1689596603
2.2484088496,2.6495894050
2.7590687174,2.8381897186
-0.6811424153,4.0584981773
-0.3132434262,2.0228478404
-0.8137587345,3.2077190042
0.9116465993,-0.4458184170
-1.4270820343,2.2203760145
-1.1529187877,1.3438006808
3.4248163411,2.6582767371
3.2774494512,3.1909553736
-0.2724557975,3.5685776234
1.2809177654,3.9047800288
1.9293801455,0.3426031962
0.1363447741,2.8467555551
-0.1070353128,-0.1955706962
-0.9891435787,0.6693767036
3.1340235960,2.9262666375
3.0114190401,2.9831864929
0.3487615140,-0.1743529851
2.5189085086,1.3049395996
-0.0901819920,-0.0540765899
2.0720884070,0.3454576681
-0.8627095352,2.6874664759
1.9565181235,1.4852133488
1.4210741816,4.6562430676
-0.3299594048,0.0043651168
3.0981349307,1.1924247447
3.2444587071,1.4409344994
1.2704368270,2.8482867563
-1.3292952063,1.2107688572
0.9990810924,-0.4015562298
-0.5876971492,1.4728165221
-0.3584702785,1.5623704686
0.9582063806,1.9273680482
-0.1859808296,4.0684636233
2.9748237595,2.1616236456
1.2685203059,3.3715576950
2.0050947722,1.9523148277
2.4113032311,0.1543170146
-0.6827740010,2.8166366049
0.9921349158,3.3513908530
-0.4894188834,0.0981339365
1.0960636604,1.1149716616
1.2506190576,3.2532909915
3.4771643535,2.8563498410
1.1952906547,-0.2516962906
-0.8083197060,1.7285078056
0.7695449765,0.6828306550
2.2658633470,1.4206005739
-0.5090662290,1.2715957161
-0.7500809815,1.7483376298
-1.1575216918,1.1637948198
-0.9528488125,3.0147596297
3.0417000639,0.3320769768
1.2501705978,1.3951486326
1.5768948142,-0.4569215867
1.9264279883,-0.0032198920
-1.0869600985,3.0026550770
-0.6726048069,3.6964215415
2.5236653044,3.9044462494
1.8774388357,-0.3285551146
1.7454725026,1.4871783260
0.5269905855,3.6755800674
0.7331524229,3.1756670552
1.1802128275,-0.3018708865
0.7340593619,2.2231509756
3.5887752973,1.6309114206
1.7134380450,4.4249188598
2.4170743147,2.8818897126
2.8432328910,1.4922996602
1.9536716280,4.3116206253
1.2546884074,1.0937931014
1.9186356204,2.8927429040
1.7920232371,0.9456794816
1.5871861205,3.6764551020
2.7768654859,1.2816810975
1.1806689724,2.1082719253
2.6019269883,1.4662063444
0.1554342979,0.7783213319
0.4042995712,3.1967891363
1.6739842968,4.2968517732
2.0435552028,1.4459503589
1.3091068324,2.7283009281
2.1983645039,0.3908898607
0.2427379899,3.0984711931
0.1824639072,3.3801507259
3.3731930868,1.8157268270
2.3304628104,3.8215602338
1.3061700037,4.3460223629
2.6067999892,2.4382138244
1.3386342903,0.9988739371
-0.6915092853,1.8266949267
2.6730471576,3.7614993918
-1.5006432149,2.4290933085
-1.2620612942,1.5310676873
0.2452325238,-0.4638035283
2.1858007049,3.3437755120
-0.1385883920,3.8257388086
0.2355467359,0.3599422981
1.6654861330,0.2316001104
1.1415665097,4.6872858708
-0.0934106315,1.6508768102
-1.4111794639,1.4242071071
0.0592260066,1.8147489032
2.8784899907,0.3466219789
2.3157661424,4.0825655181
0.5632891207,3.9348925371
-0.7950454965,2.3329480811
0.0881309794,3.0434324749
-0.8366118010,0.3224320267
-1.4028257832,1.2608984610
-0.1220899598,-0.3611001053
1.7163439643,3.2555961308
-0.4546234591,3.2335692023
-0.4516726751,3.3612068473
0.3928923528,3.5161126213
1.1908451431,4.4233959323
1.3169466936,2.5225602681
0.8801369555,2.2092131917
1.4704565916,2.1720442091
1.8882339127,3.7647269246
-1.2756346117,2.1150060256
0.0610889394,2.5628583767
0.3380008335,1.3201077797
-0.0207213653,1.0094500765
2.0384084328,1.2716759235
0.8776420426,0.2526822232
-0.2540365470,1.5650783840
1.2435111180,2.1012623792
-0.9135032370,3.7377261165
1.9435157000,2.1418297617
1.8279763001,3.6525573133
3.1578623815,0.8924429385
1.5265058896,4.4381118193
0.0204651380,3.4929557904
-0.2329306628,-0.2900574536
1.0749970688,1.1489129123
1.1135596076,2.8450914520
3.2147620317,1.4567290701
2.8666101773,2.6923450580
1.8964988387,2.1152799826
3.1344087687,0.8611316742
-1.2410225877,2.8224933000
2.3682071420,1.4941978054
-1.4112580266,0.9185895144
-0.0513911836,2.8076633272
-0.2577883613,0.7753897626
-0.7048974718,2.3177783905
3.3359488628,1.3060827612
-0.3685145760,2.8381163531
2.6918679618,0.1393456962
1.0951553366,3.1592021614
0.8910450062,3.6920625425
1.1862035208,2.1465942643
1.0488103347,0.6022341885
0.5181905485,2.7701659268
0.0321332107,4.0349515314
-1.0402490963,2.2522196273
3.2091812758,3.2795159122
3.4427757475,2.9292046788
1.8752082709,0.4420239064
0.2425025799,2.4102459420
1.9454113096,3.8886683186
2.8643605185,1.7819035298
1.4919479542,1.5989144411
1.4779926025,4.2473943190
-0.1142310416,0.8775824384
1.1058874277,0.9413237329
0.6030818198,1.7490848807
2.3667076523,3.8696751142
0.3922432204,1.3492275290
2.5676051584,0.7651761140
2.1204117577,2.6224985401
1.2382013536,3.0199785367
3.4529394791,0.9276617689
2.6800666398,0.3655313403
-0.8974322139,3.7056298953
1.7866896374,2.5251962522
3.0343879505,3.6013777153
2.3625474213,-0.0352473517
1.4395535560,2.7752671163
-0.0784934255,1.7186394277
1.3100386557,0.0491656682
1.3418666711,1.1867092069
3.2932087344,2.4531878663
0.8986030808,1.2149714270
-1.0100501144,3.0790702017
-0.6320306923,0.6870314471
2.9650057694,2.7543870632
-1.0764683376,3.3860311837
0.0705516427,2.6975579343
1.7744044505,3.8441707773
2.4825373945,1.2019109229
3.1433395155,1.3562461074
0.8643986105,1.3512960067
3.0897972868,0.4901513585
1.1301202965,4.6936299696
1.3690518416,2.9697659377
3.0596506695,1.6710110116
2.3592356105,4.0213411769
1.5517780567,1.6485783279
0.4144537033,1.1935274674
3.5785842176,2.6184002189
0.5469657560,-0.6411039564
1.0762609888,1.9700739603
-1.1359576110,0.7671187116
0.1322348851,2.2355108918
2.3323120388,3.1590516152
-0.1341895751,0.0915650409
0.2449512459,3.4342681937
-1.4684748965,1.6546482926
-0.8168079476,1.6863512726
2.2761726317,1.6106635046
1.4125350058,1.1199354590
2.3141909421,4.1993384515
2.0734737940,2.7885999716
-0.2640165914,3.7109703923
1.7110227643,0.0956930475
2.0419392152,0.2595812168
-0.3178851284,1.7404340754
0.5522697664,1.0269685004
-1.6430183807,2.1061651399
-1.2487326840,1.7750388665
0.8151002434,3.2367464220
2.7996144143,0.4875983508
-0.0971959620,3.1655510897
2.2907205041,1.1646180889
1.5567178793,2.4073123166
-0.3964666793,1.6808289068
2.5788224720,1.4989669555
1.5014480946,4.6029697101
1.3902369230,3.1117409261
2.4702574721,0.7067142478
-0.6418420269,2.1314816712
-0.9245350023,1.7463905876
0.1271373589,2.0082467660
-0.0835662077,-0.1489830379
0.5020930514,-0.3320832305
2.8052386308,0.0669831951
0.2603889038,2.9813138347
2.5752799015,2.4805715468
-0.5643089225,3.7229631393
0.7545760520,0.3548406296
2.4596375501,0.7809527183
1.9221431420,2.2085224506
0.3149709493,0.0022746394
-1.3091979056,1.9539555823
1.6998748750,0.6260316688
1.9561544059,2.8145784376
-0.6686729752,1.5509252741
1.5336197146,0.1923882376
2.6873812940,2.5565292255
2.3779183724,3.0028143968
-0.3305944326,2.5498318440
0.3920783317,0.6033286997
-1.0515043580,3.4791516760
3.2988149544,2.6300748655
1.5261209121,3.3637752696
1.3305156040,1.5123602293
0.4486737420,2.1654556143
1.2584323138,4.2859049831
0.5841570726,0.1668300684
0.2710799392,3.7314890275
-1.0329898785,3.2883368035
1.4524925066,3.3671851573
2.8267872279,3.2973758103
-0.6154707835,1.5385985775
-1.0390562766,1.0944004621
-1.5142452150,1.1481419344
0.8830792491,0.2961193516
-1.1600098446,1.6485728063
-0.7233011439,2.3092687931
1.5879572168,0.7222613091
1.1490905290,0.6719023105
-0.3772934625,-0.3168741296
-0.5585619636,1.1206027385
0.9153748735,0.9129506935
-0.1968389703,1.6522716346
2.8323140920,3.2920424036
1.8653354591,3.1779375743
1.9088023792,2.1754418622
0.6774244677,-0.5898814266
-0.8609807618,2.9648632862
0.9369995506,-0.5459461381
0.2674157277,3.1674911763
2.8090334088,1.4711479122
0.1322102529,1.6107012734
1.0402386371,0.0862302156
2.3621230181,0.1800400299
-1.1026796424,0.7549385642
3.0291227010,2.3051341967
-0.2993325289,2.1511456393
1.2944991414,3.0265784061
2.5609810142,2.2848506181
1.2592063938,1.2901103098
2.2446499252,2.3298892450
0.2029231941,2.6738060609
0.1286525043,3.2479749297
0.8528535113,2.1643263409
3.3055379314,2.4450670373
3.3924961118,2.6229330916
0.5945028101,3.6891155068
