x_1,x_2
3.4241393502,6.2741315122
2.7401751698,2.7997026550
1.5095839858,6.1987910622
2.7153692995,4.1669135443
1.7292959769,3.6960100403
1.0732168131,3.4104419141
2.1330618399,6.0429041012
2.3823850477,4.5933163268
2.3751653587,6.3395721087
1.1122940399,5.7312930366
3.4233340016,3.5621797141
2.5023954563,5.6953235296
3.6298300651,5.4742348281
2.2822823993,3.4699150340
2.1234531941,2.9691278579
3.5315989780,5.9169277448
1.8323605797,6.0097070988
1.0985235679,7.2868313592
2.9462066982,6.5782506708
3.0540351052,4.1722455484
2.5517599160,7.3593141382
3.3960210360,6.6131085775
3.2964742116,2.6230612675
3.3797009830,2.5011226000
1.3018764907,5.3949047093
3.1113888351,6.9101523517
1.9046197646,6.7857440611
2.4031341927,4.8922494499
2.8841521225,6.6502416663
3.1561453507,4.8630627479
2.9905682200,2.2870128754
1.2739181260,6.1226182468
2.9128774693,2.9992790035
3.4650382466,5.8376829486
1.7534201897,6.9241469861
2.6078392094,4.4121832102
1.2790861784,7.1664565349
3.6629964832,4.2704435013
3.5968632146,6.2268912388
2.3107643486,6.5881145659
1.8686920422,7.1815628902
2.1808666906,3.0354368059
2.3528988929,3.8021577249
2.4391524159,3.7106855724
1.2485966832,3.6867663247
1.8781763797,4.2782596276
3.4934755784,6.2778072314
1.3948906129,7.3499887071
1.0194257256,4.8404849631
1.6516186022,2.0686242786
1.4140399586,4.3751518185
1.6522546059,2.2887848228
2.5921513264,3.2050105588
3.4087795561,3.4155970322
2.8177044808,3.9556244583
3.4289314483,6.8699680953
3.4777047411,6.8039115934
1.4131924415,2.2416867568
2.4149614410,3.3276017809
2.1320273359,7.2507888372
2.4527253072,3.3406913796
2.5718591567,3.7445991629
1.4475744513,4.9038238811
1.0647450533,5.6038096914
2.5482036639,2.9797264594
2.2420947580,3.1404146822
3.5605849789,2.4504221388
2.6831438509,5.1276058991
1.0499201370,6.5032359329
2.6756809497,4.0600533311
3.6707561645,4.0676590036
3.2660978578,5.2865665283
2.3483023150,3.9763992302
3.5675237508,4.4178532393
2.1291489992,2.7593147029
1.2528799419,6.9002503736
1.8746577594,3.3604384818
2.8904132797,3.6930608222
2.7109117206,5.4289627623
2.5509395964,6.1649673757
1.6722734024,6.1866424148
2.8490765435,6.0939597691
2.7398331844,4.6186128428
1.1420669131,6.0881714999
2.3000122797,2.7349203400
1.0915922027,3.3165318925
3.5468839765,3.6584107495
3.0332207849,5.3860417923
1.9247794751,3.9501700271
1.9695383735,2.9398497815
2.5800791319,5.2408015370
1.8709629431,6.2995909016
3.3989926928,3.5556791779
3.3858148116,2.9147021569
2.7188587883,2.6991434680
1.3944896208,3.8289408013
