x_1,x_2,x_3
3.0623767758,4.4428013644,9.2227684526
2.8821288862,4.6313309720,9.7869296873
1.8745734435,5.6819468218,6.4859067571
1.4539878661,6.3147436172,9.9087383613
2.6759013954,7.3468678640,9.3676278759
1.3265259432,3.2415063765,3.8687706470
2.7948299348,5.4835426349,8.7609712485
2.4471310617,2.8569553064,6.5030404125
2.8575725830,2.0727877669,7.3129825309
1.6408764539,4.8606849085,10.1651940484
1.4767383274,3.8496650376,5.0458736965
3.0957602136,4.0672507651,8.3024560619
1.3483257851,4.4229627698,4.1708881278
1.1615581138,5.2760509871,4.4230773465
3.3735598430,6.7983634498,6.5806312357
2.3747857192,3.2143619253,3.9699072645
3.1815272190,3.8638089812,10.0476497765
2.2610986308,2.7074851314,10.1195303258
3.1723257985,5.1738583995,9.6283318786
1.2082755051,2.2114667393,4.9971722500
1.5318388929,4.4622093988,5.3653571579
2.6850247367,2.8082828149,10.3036191840
1.4588954415,3.8711975247,5.0505299205
1.3897147314,4.0763269520,5.6620624082
2.2868806463,3.2128339568,6.4956133883
2.4977344003,6.5989676503,5.2612721762
3.1466982738,7.0397499431,9.3121958227
1.6238340803,4.3024632444,3.0053889863
2.9230546187,3.4058337420,4.6309509576
2.8375384236,2.8813098665,8.4911802576
2.6985612609,4.3692710785,10.6094783711
2.1317929529,6.4690358822,5.7234477380
2.2387661228,5.6416913119,10.9603138667
3.0979571436,7.3818069444,9.4671002935
3.6731043954,2.2678265919,10.5176511664
2.3637871835,5.2503386236,8.7752370037
1.2562853057,2.0504246566,3.8771284961
2.8180657783,4.1553192196,11.0565314347
2.6313606035,5.4415562766,4.6570103874
3.3172227183,5.2278596558,10.4233514294
3.1063459140,5.3304720443,10.8063846462
1.7563291506,5.2663668001,5.5698225812
2.3182481514,5.0506123146,9.7731278959
1.4505502476,5.8416822165,9.1420382246
2.3292272531,4.4392782420,3.2181872742
3.2481834907,4.4023215004,9.8485717513
1.9718036253,3.6627254154,8.6528070305
2.3217671728,6.1968942805,7.8015253136
3.5470338911,4.8933627924,7.1818295764
1.0099469270,5.7387040535,4.0432774837
2.2058585816,4.1403051054,7.5858499573
3.3923872209,6.3323897956,4.2998249823
2.0734240878,5.9158373456,4.1819446740
2.4091751824,5.3716076793,4.5917508581
1.0330922271,3.1806401169,7.7444120722
3.1042253998,3.7363091394,6.0071892366
1.2881696299,5.9283930018,10.4329729783
1.0475393206,2.9178475383,4.8489907137
1.6827416062,2.5401303085,8.2503080941
2.2690853932,4.8937048147,7.4717557853
1.1295169436,4.3810715908,6.1644980949
1.4462653215,3.9098807648,3.7117730245
3.4857689367,6.6759549504,6.4751832367
3.6533871053,5.7443907426,9.2231106348
1.6031480909,4.3934399380,3.8969154986
3.1381702426,3.5074463247,5.5689012081
3.5940805413,4.1626219972,9.3290582942
2.6251430973,6.6667682279,4.1470598990
1.1563867809,3.9958659417,6.1024290589
1.7753235827,3.2006358849,7.2447140025
2.9222272550,2.0727307705,7.9736667124
3.0468003322,5.6135697455,7.8526644133
3.5016328014,6.4059520331,3.6534360524
3.6553907532,2.1920262778,5.6423881181
3.2309552547,5.1180185501,6.5809984670
1.8079556941,3.8589806292,10.8114502107
2.5172875380,7.3177892738,9.2668336253
2.5115731940,5.6940709113,7.5312179692
3.6188298906,2.3077316030,4.5561529175
1.5950026017,6.3933278755,10.1599468972
1.3277913584,7.1507404138,5.5865848854
3.6551213247,3.7896386893,10.7841352482
2.6969299632,4.8571951066,5.9996009410
1.3353118555,3.4577862390,7.7727753398
3.2934944790,3.4199648040,3.1639591728
3.1444940593,3.5119650035,7.4088609553
1.6230735964,3.8134743566,4.7109503873
3.6484263817,5.2465482249,6.5133740503
1.8925326731,6.7677104463,5.7108156964
1.5542892568,2.8144523747,4.5912609772
1.7808427320,4.2378556182,5.7645600419
2.4392096001,2.7409773553,10.4090473269
1.5853125431,4.2932462580,7.6517663269
2.3963703095,2.3083564117,4.9179828246
3.4202730283,7.1342421519,10.7115733687
1.2361007514,6.4979051286,8.5422712435
1.5977244347,6.4358335490,3.7318374048
1.0550954170,5.3429759217,7.6986596380
1.6529860673,3.6413797069,8.5106538366
2.1488203836,3.2685206714,3.0261064073
2.8804310165,3.7472779208,10.7329865200
2.5676005010,4.4009603209,8.0768984777
2.1936326915,4.9125748083,7.7085146392
2.1491252241,2.3888384680,4.3318514879
1.1885709143,2.5463695810,5.2129419184
1.2693230327,6.5508634338,6.4382682573
2.5399780665,5.5837260507,10.8971188234
1.3740103764,6.9626656110,3.9860708322
2.4621875251,4.7878163043,6.6127596879
1.6743973535,4.4295662112,8.8765112332
2.0375720807,5.4396626343,3.3242570536
1.4627444157,5.5366729427,9.0675317319
3.3593591575,2.8757110058,4.9874107817
1.4527938326,4.9377190138,7.1510999669
3.1579057100,7.1226481203,9.9556429938
2.8706236372,6.4656411471,9.8028133802
1.5798144446,4.4169129938,3.1845434986
2.5684310657,3.6471528897,7.4645645682
1.2165799707,4.4176472709,9.8220082702
3.0143301947,7.2155038473,5.6242310704
1.6000550513,6.3092594751,5.5788678203
1.4732272603,6.9379294897,3.8856513617
3.5883039331,2.7918569336,6.8028343967
1.1570356619,2.6661613855,9.8754669125
2.1342636767,3.7482843549,9.2618047450
1.3008613926,3.0151977063,10.5438515078
3.2167483614,4.3583785770,10.0218133123
1.4529595703,2.0547407045,8.5310601957
2.8965305229,6.5462650863,7.5620468304
3.2983865451,3.6613677308,10.7996016180
2.9396833467,7.0866686583,3.6288994069
3.6224982265,2.5272350706,7.3450535944
1.8526887929,5.3960009496,8.8643957330
1.6974027040,2.5812861182,3.2244664730
3.5626158906,5.5767529392,7.9316714273
1.5440386141,5.2692397736,7.2532353895
2.9085226688,5.0755903460,8.7995719922
1.4964185243,4.1056182081,9.2286631517
2.0249952394,2.8209910629,4.1467131014
1.2880861103,2.9690020932,9.9386782108
2.3884062660,2.2720349157,5.6205579147
2.9969676771,4.0925679557,3.1851742872
3.6405948637,2.4711553605,3.8731643118
1.0507772761,4.6919372937,6.6956192358
3.0156080506,4.2724255124,4.0368803404
1.1930136442,2.3592132306,9.0234349638
2.7011545879,2.5728675505,4.5588460203
2.4516022558,3.8192578906,3.1327413962
2.4737883812,3.2898858644,3.9090286797
2.7293552613,2.8781286625,6.6860821894
3.0182238928,5.4831387496,7.1887339888
1.4842010715,4.7637494241,4.8259884223
3.0395932289,2.3165119581,5.6687361884
2.7772782318,6.7977456710,8.2335325551
2.4471863237,5.1624018180,5.6434416781
3.4238871488,6.6538885956,8.0079129282
2.9749516917,4.4724550974,7.3002023588
2.2206074097,5.7356852295,8.2466794462
1.8330788231,4.8671142720,9.1900147918
3.2752873762,7.1839449743,8.7231712160
2.2183778585,3.8657582434,9.4864672636
2.5147831434,3.2139502617,7.5609107400
2.4283170839,6.8165848342,8.6978176822
1.8574501839,4.8404737662,6.4986407781
1.3531069459,4.7434232188,6.1730304298
1.1133256811,3.0896211264,10.3488460464
3.6136258631,4.7022264328,9.9945521792
1.3927266019,5.9301779940,8.3566655134
3.1291627963,2.9194978667,6.3393136823
2.1755249032,4.4184512288,3.7087205239
1.2459009267,2.6298546210,3.9131569297
2.0782374027,4.8256856756,4.7771274621
2.8406761919,5.4807677501,6.1731301808
1.7511659753,3.9906218561,3.3925934884
1.7871676031,5.8177380953,7.9068788613
1.2764382381,5.5933891895,8.2826326469
1.7992084393,4.0303615493,9.2362416162
1.6999079548,3.9588374664,6.9487795255
3.3946126054,4.9033088337,4.6155238561
3.6668986245,4.1044148548,10.5159540259
2.5671205601,2.4261454934,4.4370083804
2.3942976696,4.2045318391,9.8916060038
3.5107298441,2.3895990610,7.4189888742
1.1019937331,3.8535866727,6.0128479409
2.6293399539,2.7009324625,8.8289667647
1.4126057849,4.4208505406,10.1512012011
1.7000337629,6.1656483731,3.5386880770
3.0348013834,2.8968982934,10.3712799419
2.0819654179,6.2523301179,5.6783414202
2.1018777344,7.3074101931,7.7694282113
2.9600098999,4.0689169604,7.3867844989
1.5351635185,4.5620817888,5.8536595372
2.6323796022,3.1655593825,10.6142124736
1.4953605615,2.9108706950,5.1447223414
2.9392954442,6.6196697488,8.7745583747
2.0243010722,6.6161522189,8.6596614497
2.3623361672,2.4956524409,7.0421404748
1.9658763303,5.1436092875,3.5194873953
2.5496003207,5.8156865614,9.3707524983
2.7754644679,3.5485219540,3.0413517615
1.7523276692,5.0960184951,4.9890587058
3.1868159476,2.0525948040,10.3237769548
3.1625544068,6.0524588522,5.7853777085
2.7389545422,2.7741316534,9.7651706730
2.4879436335,3.0660354382,5.7645875052
1.0987138200,4.9337021395,10.4557242708
1.5616659301,4.9036358667,8.8726523129
1.5570180205,3.7199449162,4.6018833711
3.2732624758,5.2322800127,7.5643826441
