x_1,x_2
2.0299226689,3.0870949888
2.6545885381,3.5701856320
3.0981707162,6.5234838548
2.7848868679,5.4951383353
2.8085122626,3.6665987150
2.6898824878,5.4697164729
3.6855277514,6.4106135475
1.6273370233,6.1424887273
2.0957191162,3.7901066000
1.2926085111,5.9030361568
1.7520182651,3.5919290660
2.7453809958,4.2689908034
2.6490946241,4.7379848288
1.6484397412,3.8781484092
2.8268847026,7.0525767056
1.0674842604,7.3813886036
2.3943640929,4.5509698689
2.4593351936,6.7712427706
2.3639059041,5.0117919242
3.2422957549,6.9700015408
2.5772539604,3.9692200083
1.4612858332,5.1887750288
1.7318623824,4.5339277400
1.4693951691,6.4554864790
1.6546738776,2.3978991754
1.5953374380,4.0128399435
2.7543054557,6.2733240016
1.5607477425,3.7628012510
1.2398985797,4.0602158589
1.3014622882,5.3622009010
3.6399976711,7.3920636973
2.9221268654,3.8427000191
2.4311844108,7.3370419006
2.4659417656,5.1062234047
2.7048103105,2.7289915797
1.5492514325,2.1921564285
1.6893293984,3.1349410827
2.6867307525,3.4773602981
2.3518598247,4.2099908495
2.3994748595,5.3758868360
3.2495094277,2.3613740952
2.0968852655,6.6948141202
2.3138453518,6.9715445084
2.6415227680,3.4190495301
1.8931810569,2.7118297235
3.5689722877,5.2645077152
3.5228554253,5.3269072934
1.8033603613,3.7314902433
2.4081003499,4.9373853516
2.6257759890,3.0730943078
3.6104772905,3.4487509067
1.5420226089,4.6659663589
2.8442492604,5.8576033679
1.3955336063,4.1119337835
1.4958310502,3.5393297134
2.7582639863,6.6892976277
1.4422625748,4.1271844759
2.3516310835,2.7906183685
2.0445570564,6.5060947318
2.6282816684,6.8809517709
3.4290098055,3.0136843664
1.5183707532,2.6719924211
3.3597725838,5.9391976854
3.5837784483,3.8262083470
2.5396918373,6.9941046669
3.2943829182,5.0405877799
2.3560168629,3.9007836502
1.3981671188,3.9512703638
3.4678564774,5.6277546572
2.4393682274,2.2438644834
1.5415417841,7.3890221897
3.3861935122,6.3611824633
2.4851254774,6.5623367150
1.4218655659,4.8194430877
3.5145735550,5.1776281843
2.8416061879,5.4886049613
3.4848121193,4.5702885775
2.9472236746,2.6192221154
3.4116305671,3.4561844772
3.1019708924,6.1581938953
1.1273417640,2.4748137600
2.5982619716,6.9225986020
1.0347335434,2.2188153215
3.0559444090,6.9117636875
1.9929532758,5.9018270147
1.9360349155,6.7612913107
3.4973917100,7.2102902882
1.8276795982,4.6636842538
3.0243029336,7.1045975412
1.2220168360,2.4520162476
2.9352426823,2.1619032150
1.5731663820,3.8378886177
2.7260575395,5.9520180066
3.3317477106,6.6045851592
2.4957958225,2.9079050755
3.4955459487,3.4926519672
2.6005649359,7.2215359240
3.5256970076,6.5585046475
1.3080805632,6.9557277411
1.7568326708,7.2502790405
3.3633898937,2.1014656935
1.8348754954,4.6284217049
1.7289768020,7.2007612491
1.5735640605,3.9660935812
1.3942755402,2.1981782801
2.5916129734,2.9204596561
1.5957545791,3.3591479599
2.6758879117,6.7581379472
1.5112166732,6.1173616135
2.0370922645,3.3620243207
3.4679669247,6.3631285793
2.4939465719,3.9098038657
3.6393782274,5.8445717232
1.7586513485,3.7587338666
1.6321703227,4.1451782830
1.8371971305,4.2629820577
2.1355446226,5.7182878098
1.0589988771,6.4452707654
1.8750729327,2.9450530978
1.4224618999,2.2282421224
2.4715839442,5.0173192031
2.2612939647,2.4702135215
1.3057734542,3.1086564589
2.0021556740,2.0785689211
2.3230591488,2.1592577050
2.2072522487,7.2809890975
3.2513580750,5.7284063508
1.8835529407,4.9023226138
1.0742337318,6.2476205040
2.3254665178,7.2151807612
3.6642967259,5.9623103243
1.2293970841,4.5680423462
3.0803904070,6.7903374151
1.4659707791,2.8362763770
1.9446423607,3.0392939924
3.5648531255,2.2539550258
1.4834329059,2.0516575751
2.0843346493,4.2177646710
1.0983763567,2.4835072100
2.7408944043,6.6427834412
2.0242849160,3.1128510925
3.6617563768,6.3415433014
2.6093030846,5.8428588810
2.2110383283,5.8651629254
2.5530219394,5.8589262450
1.8105327682,6.2224855915
1.1240785509,4.4556622843
1.8339119154,4.1118583523
1.6979729572,6.0444191332
1.0631815486,2.0983833876
1.9640766728,6.3785090723
3.0975029211,6.2081648878
1.9808991553,3.3837617741
2.2228877541,5.3270961865
1.5022456799,3.8923013380
3.1796573204,7.3392307796
2.4689310545,6.6593920192
3.0675978432,7.1616794618
2.4627135785,4.5183921313
1.1753185571,2.4720408712
1.6192481881,4.4060387083
3.2555926459,5.1578704927
2.6937512632,2.0736166701
1.6298734799,4.4364270797
1.3750074122,4.0440594494
2.7364208432,2.1817926763
2.0226605876,6.2735703875
3.3737496261,4.2695870668
1.9654590398,3.2325503280
1.2435894741,3.0290920492
1.5969641959,4.1284368865
2.5131734692,2.1154463578
1.4904790010,5.3808351417
2.5899410847,7.3733505690
3.5863259933,6.6218978963
1.0302252579,2.9358428042
2.3870558328,6.1068077737
1.4815291474,5.4550787295
2.0898562265,6.7705607518
2.5658806737,6.4523373535
3.6178953521,3.2703965286
2.8884229752,3.5049942625
2.1330582656,2.6623148102
1.1780445477,4.8104230430
2.7277926842,2.7866120146
1.0628647451,3.1416752325
2.1412824546,2.1610689041
2.8952616739,3.8276609193
1.0361030809,2.1657506142
1.7827457963,5.1413755602
1.8620152977,2.7874994717
1.2777227113,2.8022437822
3.2616618940,4.2522997387
1.8162257082,5.9907621910
1.0793393238,4.6990276436
1.9481480788,5.0691434573
2.2844853918,2.9440018724
2.5668557583,5.6925033786
3.4136217532,6.8742074451
3.2376002649,2.8802466176
3.5602165306,5.5286290032
2.4959052800,6.7089983710
2.3931932639,7.1965054082
2.6351412311,3.1676361990
2.3042602173,5.6297028155
3.5938045742,7.0102217229
1.7909153001,6.4888222204
2.9617794479,3.0422359048
2.8508807571,2.7245379148
1.2881854607,3.9003491220
1.4908565374,2.7441951652
1.9002399437,3.7591726288
2.4617153908,2.2068029495
3.0736339875,2.4302900065
1.4626532238,7.3957900304
2.1237394517,6.2810599791
1.8192528606,6.3228830481
2.2323497570,3.8346633906
3.0304378205,4.0767603772
2.2576117706,5.1293746538
1.8680630699,6.4247966086
1.8106046043,4.4174995973
3.3823643107,4.4861394723
2.5409343360,5.6208706595
1.3206538227,4.2902617098
2.5300853224,7.1211743967
2.8324454684,3.5104656112
2.7243412060,5.5793639826
2.7957220765,5.5117245169
2.0483864682,6.8422163203
1.9297797736,2.9019332205
3.1998851743,2.4251552189
1.4533001349,4.3980145776
1.7859947071,5.0931468390
2.9672296402,6.2965116874
1.3017000243,7.0191897379
1.4359271675,3.0901684932
3.4444769045,3.5835380528
2.1060189030,2.0352243530
2.3441561881,7.0458085940
1.6973728654,7.0855110883
2.5136245362,4.3684716014
1.9810067821,2.1470109596
1.6164112809,5.6913682160
2.9032275702,2.7721225916
3.4373023270,4.1251376725
2.1096438727,7.0124125652
2.5532188576,6.2188474973
2.7702783362,6.2220139061
2.4690587532,4.5300882372
3.5556973159,5.5006999473
3.2861023193,7.1954489374
1.7090480054,5.7531417050
3.5956636046,5.6281553322
2.6303516146,6.0511031381
2.1635439537,3.6800258932
3.1815336185,6.9198040749
3.4817834847,4.6384302756
2.5341764516,7.2244276024
1.1628130491,5.4461347985
2.3437689234,6.9171573704
2.5335943794,3.2293539351
3.5315616200,3.0624188433
1.4125678532,6.8791507529
1.5035711585,3.2865096262
3.3862279580,3.2785325208
2.2947959293,3.9053112010
2.3658673649,2.9942910241
2.3286165982,6.6501035770
1.3137329372,3.5236274822
2.9783409148,4.7267314001
2.3531761405,3.5139834138
3.1441675435,4.6519267465
