x_1,x_2,x_3
0.2013286298,1.5966002427,0.1599240052
1.0203319687,1.1422615064,0.3509129374
0.7457969047,0.5331484295,1.0390725681
0.5025620388,1.1803523248,0.8621461008
1.7449735272,0.5098736051,0.3886393600
0.3095163380,0.3394984355,0.9816028682
1.3307190900,0.6558914395,0.2197985530
0.4559282602,1.2058806124,0.4090253369
0.8857044173,0.5748942684,0.9686983308
0.3613315312,0.5462407186,1.2320072798
1.1726479589,0.8089330151,0.5039205438
1.1229800373,0.2573899259,0.7708212143
1.6365385064,0.3390521835,0.2572245855
0.1246648799,0.9389421032,1.4944814483
0.4689797076,0.3086943617,0.4351769738
0.6936790765,0.6611162298,0.4316199220
0.2846791414,1.2112344865,0.2445635365
0.1867455114,0.4763532050,1.5339317078
0.2398366523,0.5315438990,1.3962258891
1.3318013297,0.7545325429,0.2513637791
0.6172862319,1.4572794026,0.5615701862
0.1183094133,0.4067542859,1.0367983982
0.1741111285,0.9025000284,0.8568832201
0.8740430588,0.5526601893,0.0593222134
0.1620198510,0.5983898966,1.5430374308
0.5455646265,0.1558027546,0.6280090427
0.3792037864,0.6038822531,0.0447054412
1.1905663221,0.5775703709,0.7423870901
0.2294412968,1.2726847117,1.0204956034
1.6741133913,0.5202054675,0.5001402725
1.0954010552,0.4598608867,0.7680281620
0.9710894851,0.5589107387,0.1075653463
0.4700677787,0.1962673136,0.8607859857
0.8213258743,0.7057635188,0.4284179731
0.4651674019,0.3031667005,1.6846445564
0.3600383147,1.6522587596,0.5791739553
1.5859375331,0.4422423987,0.6198018698
0.7812566477,0.0748206182,0.8213256384
1.7060570114,0.5191856869,0.4553983054
0.3361994198,0.3377764633,1.3479858377
0.3672139815,1.1305906569,0.7336231416
1.2996361435,0.2123637264,0.1558138258
0.6293988869,0.5358790950,0.1804666122
0.9702084611,1.2065035489,0.1400751997
0.6669938930,0.1377734255,1.5304605538
0.5389810075,0.1717687669,0.0480724029
0.2925689423,0.2124599697,1.7235765704
0.7232979270,1.4864577664,0.3803117780
0.2649665496,0.9035148113,1.1816488779
0.6453640217,0.3480244654,1.1665692795
0.3898188745,1.3906378975,0.2335749600
0.9131555819,0.4981171632,0.3374485886
1.7497369590,0.2503443187,0.6804893765
0.3716345737,0.7942878672,0.5206189628
1.2741093117,0.1480581908,0.9886964520
1.2247477884,0.1424569401,1.1044006229
0.6075373170,1.1880751093,0.0967749754
0.9009398366,1.3270003277,0.4396334642
0.2466826375,1.0151678566,0.8816610338
0.3201221014,0.7557818663,0.6052736762
0.2655609324,0.5389007755,1.1437050461
0.3729393904,0.2693457538,0.1355916920
0.0363083478,0.3980156362,2.1963462195
0.3044932626,1.1353222189,0.7825500263
0.0921961361,0.3284859890,1.8752683610
0.1556592913,0.3037099991,1.9455607176
1.2030967884,0.8607291183,0.2154034874
1.8437851240,0.1445376203,0.3029343136
0.4665985504,0.6365383581,1.4577753419
1.2065322264,0.2834030703,0.7231413620
0.9106619267,0.6789606787,0.5502207229
1.6745484377,0.2257284175,0.4008669824
0.2008797317,1.4009029544,0.9720005406
0.7243441889,0.7679876229,0.7505892572
0.1058304442,1.1433944529,0.8446665400
0.1482209432,0.3945878430,1.1676132161
0.5866253012,0.3420206622,1.1652172355
0.9748691923,0.2277994765,0.6260081874
1.4507175470,0.5698245012,0.2248445532
1.2349446582,0.2941302661,0.7298339792
0.1393666417,1.0121643452,0.8306469777
1.1174402844,0.1915372166,0.2865077072
0.3851946668,0.1151841798,0.6424883233
1.3742181405,0.4014272923,0.5638792715
0.0821797090,0.1911542007,1.7404885158
0.8199314406,0.6714034490,0.3967074946
0.1203458769,0.4983664877,0.7997310402
0.5476670525,0.2981788460,0.8247570065
0.6445332801,0.5897740803,1.2065010893
0.0533345820,0.4391041588,1.9791901888
0.9448427714,0.3132145138,1.0539552338
1.2593280549,0.7335085432,0.3685672112
0.3691320926,0.4358225148,1.8507699848
0.4202621446,0.7880370941,0.8129957905
0.7680240542,0.1774946361,1.2090018501
0.3044862671,1.1917224545,0.4602837718
0.6568715780,1.2197986336,0.2065398877
0.5666388570,0.9792755393,1.1215942681
1.1490369078,0.3716323348,0.3125637471
0.8186052949,0.8667933043,0.8701197204
0.4195631999,1.6179355594,0.2473872300
0.3387259718,0.3875414512,0.8798864549
0.7763896890,0.2307247035,0.1783900883
0.2423014881,0.7040244535,0.1453631670
1.4980014476,0.2834781923,0.6610747265
1.1742276747,0.7820012272,0.4139732760
0.1907507576,0.9855942386,0.5884108909
0.5958683920,0.9595570651,0.9701541841
0.8947420030,0.7954511385,0.1911078225
0.1427224807,0.1989246444,1.7055012765
0.5626699225,0.9169377130,0.5763241656
1.0143416005,1.4416277237,0.1268568273
1.1099004097,0.3890408907,0.6492913798
0.1561792325,0.4564297372,2.0849856386
0.9286475405,0.4449667756,0.7978508880
1.1931271209,0.9900264080,0.3818118125
0.1953417441,0.6855258745,0.7546183840
1.0270582177,1.0544470268,0.3299183116
0.5851782316,1.2721604212,0.8094514766
0.5219569761,0.4874971373,0.6656201437
0.5900334245,1.1221753894,0.3976083362
0.5415743539,1.8943202402,0.2532971182
0.4479949127,0.5963711305,0.3577267416
1.0265030608,0.8748674736,0.3876290799
0.7447118838,0.8589870042,0.4018596009
0.9272697798,0.1657709703,0.0238157355
0.7839797548,0.8296817980,0.5336909880
0.6965578462,1.3177848245,0.4464598536
0.1489057955,0.7259343047,0.5292734680
1.3773585953,0.5799182838,0.4680359549
0.6372575070,1.6831026538,0.2950803236
0.2008782411,0.1687250398,0.5239031186
2.0192722914,0.3770715284,0.0432273571
1.4374357143,0.1432659836,0.9850139706
1.0645305216,0.0811119699,0.5811441536
0.6668585297,0.1823916719,1.7941826244
0.7697259701,0.7437595593,1.0949517459
0.3825562540,1.0112915468,1.0533711595
1.1634969403,0.6566435013,0.4685457158
0.3292175355,0.8421272325,0.7136370328
0.5779154355,0.7120634945,0.9709609238
0.9269450689,0.6793614066,0.4572168023
1.0473937331,0.2893156298,0.4041013249
0.9285099248,0.2569014881,0.8202459391
1.6410852837,0.1603565790,0.7363105053
0.1642636909,0.1480975114,0.1302782958
0.5199119687,0.2069263233,1.9379407113
0.2259248469,0.6682593426,0.5182807620
1.0473367137,0.7323621998,0.8836157321
0.4717385015,0.1516347202,1.1420791725
0.9912096133,0.8178861383,0.4599351320
1.2562392720,0.3714902895,0.4139042390
0.4783855827,0.7120995922,0.8676801295
0.5121903991,1.1411824496,0.4236936488
0.6548352977,0.8336992084,0.1792574335
0.1673363222,1.3406641654,0.2209047507
0.4838024507,1.1401019703,0.1030401329
0.8884382157,1.0392650461,0.2373851494
1.0347041658,0.9109540742,0.3776887692
0.1443265703,1.2576884317,0.6429570898
0.3341155626,2.0569088189,0.2796535451
0.3057274806,0.1854149269,0.4507395686
0.1436643206,1.2395256632,0.1636294471
0.7304496438,0.0915593721,1.2507964484
0.3741400485,0.7146790262,1.2116139896
0.4717626803,0.6796561545,0.8790979343
0.3065615687,1.3317778441,0.6471077394
0.1117917340,0.9698262532,1.1176392427
1.3735745491,0.1580559257,0.8936653191
0.2272297115,0.1741134667,0.7690409081
0.3652964315,0.9950750500,1.1359511017
0.9299188273,0.8087971698,0.5361624390
0.1986773383,0.6065114680,1.3323042448
0.5298104427,0.3249337870,1.4395898459
0.1523239601,0.5834062543,1.4534322222
1.2252418957,0.3825124096,0.4862862888
1.0672530174,0.7843605728,0.0603273714
0.5689569204,0.3036640335,0.6540062610
0.9192865420,0.4486336365,0.5649147071
1.2001698956,0.2171448313,1.0512443643
0.6317939284,0.1807146367,0.4951910431
0.0408473561,0.5355088110,0.1104032265
0.1456528308,1.0374926194,1.0070876003
0.6725912690,0.1071551392,1.2988986094
0.6771054341,0.6857255771,0.2043949792
0.5240929286,0.2527169183,1.4374802309
1.0652868929,0.6551310731,0.2837257182
0.1675076071,1.6925195299,0.4117486858
0.5674336347,0.9233818931,1.0585182960
0.2287294554,0.7596672073,1.6512651440
0.2016660664,0.4304504710,0.1448861029
0.3144865895,1.0021700815,0.7826204069
0.0518693414,0.6004776442,1.5855722030
0.4303808170,0.9753560122,1.0659383833
0.4416183865,1.9861923472,0.2442100198
0.3704284541,1.2601514134,0.4519409640
1.2977009542,0.6206609085,0.0841325537
0.8147267917,0.2085766708,1.3061447540
0.2212315901,0.4072815305,0.3787600105
0.3742407676,0.8936120922,0.5503577412
0.2588261018,0.1562383150,0.5287354660
0.7820041159,0.3787702729,1.2133979202
0.4315258240,0.3282330681,0.8334398147
0.2618692656,1.3471154084,0.3011585978
2.3206401395,0.3379394580,0.0335779866
1.3055574662,0.1652308416,0.4877423162
0.8761638805,0.9694003792,0.2607244250
1.0465781536,0.5901653896,0.1848451563
1.5281821929,0.2218202660,0.3514865340
0.4175831508,0.8290355863,0.2725957366
0.2756480628,0.3009120793,0.1435634626
1.1052600319,0.0874622934,0.8626860842
0.4762879499,0.3067973612,1.3139792021
0.5935203603,0.5507862876,0.1300949098
1.4622122343,0.2567880727,0.0397627581
0.8274148720,0.9666912656,0.0771860887
0.1870063702,0.2228473992,1.2352472820
0.4302145144,0.8131121675,0.7040902573
0.1971403906,1.7782551705,0.1534962383
0.4179854395,0.3960901762,1.0554844303
0.4659740874,0.2303846575,1.9494498068
0.8638333282,0.1540023497,0.3513844095
1.7836963427,0.2333538468,0.4710527237
0.0349040027,0.4270723819,0.3355550762
0.9395957281,1.1220138719,0.5646381307
0.8296181201,0.2582372009,1.3868956317
1.9961494103,0.4884723608,0.1818499371
0.1621228298,0.0445942872,0.4408325574
1.6276940344,0.2158831335,0.3268586527
0.1020308809,0.9227697496,0.3019967732
