x_1,x_2
2.0226087139,0.6140215629
0.2661054230,1.6201309249
0.4394321230,0.6211351287
1.1715077270,0.2588106099
0.4342997269,0.8342827767
0.4060822646,1.0128430017
0.2196680349,1.8657078361
1.3965340410,0.3346840072
0.2706434275,1.8994272562
0.9687493183,1.1519827590
0.1169992086,1.0610524439
0.7440625777,0.7208153370
1.0659567613,1.2843156230
0.4370859185,0.4821170368
1.2316442147,0.7445893296
1.1989828204,0.9797870876
1.0048728799,0.7453474525
0.7235936536,0.7416644695
0.1086388420,0.1549222730
1.5214301234,0.4258492493
0.1916612365,1.1840834821
1.3852391811,0.7038326890
1.7535598685,0.9353087259
0.9870153740,1.4197090604
1.1360870239,0.7060075413
1.2392791949,0.7664300678
1.8456404408,0.2618250981
0.4844175888,1.0356035238
0.1691140143,0.9600902666
0.7848708507,1.6938374087
0.7391761384,0.6368625411
1.6908884364,0.2478096574
0.3767711321,0.1528278427
0.5837906933,0.8188072586
1.0007046713,0.2896670218
0.3538795920,1.8695784621
0.1689378933,1.3073893322
1.4400112287,0.1461128531
0.7387454109,1.5668188763
1.6097553899,0.6944642877
1.6743497057,0.7235320485
0.8172611065,0.4168477407
0.8016561556,0.8662888551
0.8076636594,1.0671520201
0.4617603878,1.1629323907
0.1000127939,0.6583255535
0.2822395601,0.2461460035
0.1888532706,0.0407076326
0.7992408467,1.2179815726
0.4793910459,1.6930974900
0.2302563001,1.5989786793
0.5724929684,1.5595818231
1.3390168070,0.9281298054
0.5741677100,0.2900055950
1.3642388975,0.1733935921
0.6175587886,2.0294921467
0.3320754871,1.4220591068
0.5870986259,0.4234039763
0.5060990489,1.9340782777
1.0365742603,0.3293680073
2.1225591526,0.5139142654
0.8892527887,0.2735408860
0.7577482638,0.9943777879
0.9782833688,0.6025895720
0.8881498525,0.6750491464
2.0080042933,0.5297856545
0.0598057588,0.3217720072
1.7178022452,0.2889965989
0.4481246439,0.2767380984
2.1798394433,0.2204337059
1.3053787071,0.3759728770
1.3840522152,1.0494608469
1.3037580138,0.6471060805
0.3301350559,0.3567846745
1.7018086477,0.9352376854
0.9533592230,0.8878172635
0.4997783836,0.2863507599
1.1155767200,0.2795413970
0.7788342913,0.6862233031
1.4069324944,0.5865336074
1.3899273035,0.1337207885
1.5148213354,0.9943100149
0.6292342880,0.1978122736
1.8990001775,0.2638639615
0.4695879204,1.9688594217
2.0100162610,0.6311776500
0.3892262673,1.7328064198
0.8380233929,0.7573348804
0.4089640317,0.0684027083
1.2284044786,1.1740757482
0.4589456784,1.6015602252
0.7584763981,0.4125943915
1.5385781303,0.8439142663
1.8652979631,0.2131624081
2.4282143476,0.2425695848
1.8099767357,0.4198715504
0.5853354005,1.1381293271
1.9921627443,0.2899033499
0.1658783029,0.1438440127
1.5903376421,0.5523997142
1.3201572861,0.3026653876
0.8201698880,1.3234875781
0.1977881691,2.4720251862
0.4621468835,1.7899438475
1.0201732201,1.5955826920
0.6553991969,1.7507420540
1.2415790962,0.9697446923
0.7465502611,0.2913633072
0.4454670962,1.1938412737
0.6560111566,1.7183945950
0.9487845458,0.5533959668
0.8289306790,0.5788161313
1.0694480665,1.6248263925
1.2495458658,0.6943378211
0.9980144363,0.2654234734
0.8705559840,1.1075422551
1.4469579770,0.2817031554
