Type;A[Real|0.014|5.322];V[Real|0|2];B[Real|0|2];S[Real|4|371.428571428571];U[Real|0.874890638670166|877.19298245614];Ph[Real|0|877.19298245614];Pe[Real|0|43697.0338983051];L[Real|108|4551.72413793103]
Feasible;3.00;1.00;1.00;30.00;300.00;26.67;2000.00;971.67
Feasible;2.00;0.00;1.00;20.00;300.00;0.00;1500.00;1077.50
Feasible;1.00;2.00;1.00;100.00;700.00;150.00;5000.00;1075.00
Feasible;2.00;2.00;1.00;30.00;300.00;50.00;2500.00;1045.50
Feasible;3.57;2.00;0.00;29.40;111.98;111.98;2855.54;1088.75
Feasible;3.57;2.00;0.00;29.40;111.98;111.98;2855.54;985.16
Feasible;1.42;0.00;1.00;35.21;84.51;0.00;0.00;570.42
Feasible;1.42;2.00;1.00;14.08;70.42;0.00;0.00;602.11
Feasible;0.43;2.00;1.00;35.05;350.47;116.82;2102.80;1074.77
Feasible;0.21;1.00;0.00;32.71;233.64;0.00;0.00;509.35
Feasible;0.43;2.00;0.00;35.05;233.64;116.82;4672.90;537.38
Feasible;0.43;2.00;0.00;35.05;233.64;116.82;4672.90;420.56
Feasible;0.10;2.00;0.00;50.00;200.00;0.00;0.00;1180.00
Feasible;0.29;2.00;0.00;34.97;262.24;0.00;0.00;569.93
Feasible;0.07;2.00;0.00;142.86;214.29;0.00;0.00;1142.86
Feasible;0.31;1.00;0.00;22.80;195.44;32.57;1140.07;905.54
Feasible;0.09;2.00;0.00;58.14;581.40;290.70;23255.81;883.72
Feasible;0.09;2.00;0.00;58.14;465.12;116.28;5813.95;627.91
Feasible;0.29;2.00;0.00;34.97;174.83;0.00;0.00;926.57
Feasible;0.29;1.00;0.00;34.97;174.83;0.00;0.00;919.58
Feasible;0.28;2.00;0.00;35.21;352.11;0.00;0.00;457.75
Feasible;0.36;2.00;0.00;28.01;280.11;0.00;1260.50;980.39
Feasible;0.36;2.00;0.00;28.01;280.11;140.06;4201.68;498.60
Feasible;0.36;2.00;0.00;28.01;280.11;252.10;0.00;257.70
Feasible;0.29;2.00;0.00;17.48;87.41;0.00;0.00;720.28
Feasible;0.17;2.00;0.00;29.41;147.06;0.00;0.00;1135.29
Feasible;0.56;2.00;0.00;44.64;267.86;0.00;0.00;982.14
Feasible;0.29;1.00;0.00;17.48;174.83;0.00;0.00;454.55
Feasible;0.36;2.00;0.00;56.02;420.17;280.11;13445.38;493.00
Feasible;0.36;2.00;0.00;33.61;420.17;280.11;11624.65;336.13
Feasible;0.18;0.00;0.00;27.78;555.56;0.00;0.00;866.67
Feasible;0.36;2.00;0.00;27.78;208.33;0.00;0.00;727.78
Feasible;0.36;2.00;0.00;56.34;112.68;0.00;0.00;1273.24
Feasible;0.14;2.00;0.00;71.43;285.71;0.00;0.00;1185.71
Feasible;0.05;2.00;0.00;76.92;576.92;0.00;23076.92;1884.62
Feasible;0.05;2.00;0.00;76.92;576.92;0.00;23076.92;884.62
Feasible;0.27;2.00;0.00;37.04;277.78;92.59;1111.11;1422.22
Feasible;0.27;2.00;0.00;37.04;222.22;37.04;1111.11;940.74
Feasible;0.28;2.00;0.00;71.43;357.14;71.43;2321.43;1367.86
